# t[Gyr], SFR_thin.d/<SFR_thin.d>
1.071250000000000213e+01 8.644072883847796485e-01
1.073750000000000071e+01 8.620657155982286435e-01
1.076250000000000107e+01 8.593133490879163450e-01
1.078750000000000142e+01 8.561530381226906128e-01
1.081250000000000178e+01 8.525892144090310154e-01
1.083750000000000213e+01 8.486278637105182376e-01
1.086250000000000071e+01 8.442764877088746456e-01
1.088750000000000107e+01 8.395440564448913845e-01
1.091250000000000142e+01 8.344409517597617398e-01
1.093750000000000178e+01 8.289789022349429715e-01
1.096250000000000213e+01 8.231709102009593382e-01
1.098750000000000071e+01 8.170311714520116508e-01
1.101250000000000107e+01 8.105749883633414088e-01
1.103750000000000142e+01 8.038186771620189353e-01
1.106250000000000178e+01 7.967794701491874854e-01
1.108750000000000213e+01 7.894754137134550875e-01
1.111250000000000071e+01 7.819252630121285019e-01
1.113750000000000107e+01 7.741483742309748228e-01
1.116250000000000142e+01 7.661645953668191344e-01
1.118750000000000178e+01 7.579941565138342829e-01
1.121250000000000213e+01 7.496575606785912393e-01
1.123750000000000071e+01 7.411754762065138058e-01
1.126250000000000107e+01 7.325686319803842439e-01
1.128750000000000142e+01 7.238577166581833255e-01
1.131250000000000178e+01 7.150632833615947481e-01
1.133750000000000213e+01 7.062056614168847890e-01
1.136250000000000071e+01 6.973048769940851654e-01
1.138750000000000107e+01 6.883805847929047594e-01
1.141250000000000142e+01 6.794520132834347415e-01
1.143750000000000178e+01 6.705379264163231490e-01
1.146250000000000213e+01 6.616566051479549904e-01
1.148750000000000071e+01 6.528258525414056823e-01
1.151250000000000107e+01 6.440630265426258161e-01
1.153750000000000142e+01 6.353851047080805170e-01
1.156250000000000178e+01 6.268087850634584957e-01
1.158750000000000213e+01 6.183506267671110557e-01
1.161250000000000071e+01 6.100272331817689908e-01
1.163750000000000107e+01 6.018554781615640392e-01
1.166250000000000142e+01 5.938527736867592610e-01
1.168750000000000178e+01 5.860373733096176929e-01
1.171250000000000213e+01 5.784287011619968499e-01
1.173750000000000071e+01 5.710476905713601781e-01
1.176250000000000107e+01 5.639171098283335404e-01
1.178750000000000142e+01 5.570618457079519192e-01
1.181250000000000178e+01 5.505091085218486446e-01
1.183750000000000213e+01 5.442885165174171647e-01
1.186250000000000071e+01 5.384320132601068121e-01
1.188750000000000107e+01 5.329735702688247478e-01
1.191250000000000142e+01 5.279486296785655952e-01
1.193750000000000178e+01 5.233932490356757450e-01
1.196250000000000213e+01 5.193429231969897142e-01
1.198750000000000249e+01 5.158310769998833978e-01
1.201250000000000107e+01 5.128872466249597695e-01
1.203750000000000142e+01 5.105349964265263329e-01
1.206250000000000178e+01 5.087896497447924604e-01
1.208750000000000213e+01 5.076559443903976288e-01
1.211250000000000249e+01 5.071257530448958217e-01
1.213750000000000107e+01 5.071760323024270267e-01
1.216250000000000142e+01 5.077671779824727283e-01
1.218750000000000178e+01 5.088419655111453554e-01
1.221250000000000213e+01 5.103252402222757667e-01
1.223750000000000249e+01 5.121244921940050210e-01
1.226250000000000107e+01 5.141314040736680857e-01
1.228750000000000142e+01 5.162244003486355926e-01
1.231250000000000178e+01 5.182721565277673692e-01
1.233750000000000213e+01 5.201379520695476044e-01
1.236250000000000249e+01 5.216846780904967895e-01
1.238750000000000107e+01 5.227802468576648875e-01
1.241250000000000142e+01 5.233031015052784785e-01
1.243750000000000178e+01 5.231474969818546983e-01
1.246250000000000213e+01 5.222282208511626056e-01
1.248750000000000249e+01 5.204844468626962373e-01
1.251250000000000107e+01 5.178824641941525142e-01
1.253750000000000142e+01 5.144170973534442082e-01
1.256250000000000178e+01 5.101117200015446995e-01
1.258750000000000213e+01 5.050168627851956415e-01
1.261250000000000249e+01 4.992075120943525457e-01
1.263750000000000107e+01 4.927792849273354148e-01
1.266250000000000142e+01 4.858437371222805723e-01
1.268750000000000178e+01 4.785231121873240734e-01
1.271250000000000213e+01 4.709448622377143123e-01
1.273750000000000249e+01 4.632362701453194287e-01
1.276250000000000107e+01 4.555194745493327257e-01
1.278750000000000142e+01 4.479071507874886060e-01
1.281250000000000178e+01 4.404990367490015379e-01
1.283750000000000213e+01 4.333794198173906986e-01
1.286250000000000249e+01 4.266156264103226903e-01
1.288750000000000107e+01 4.202574855965954814e-01
1.291250000000000142e+01 4.143376782401834157e-01
1.293750000000000178e+01 4.088728369225742565e-01
1.296250000000000213e+01 4.038652316230529893e-01
1.298750000000000249e+01 3.993048621546577692e-01
